natcode,Incid 1,Incid 2,Incid 3,Incid 4,Incid 5,Incid 6,Incid 7,Incid 8,Incid 9,Incid 10,Incid 11,Incid 12,Incid 13,Incid 14,Incid 15,Incid 16,Incid 17,Incid 18,Incid 19,Incid 20,Incid 21,Incid 22,Incid 23,Incid 24,Incid 25,Incid 26,Incid 27,Incid 28,Incid 29,Incid 30,Incid 31
34333,0.714625277,1.000475389,1.000475389,1.000475389,1.000475389,1.000475389,1.000475389,1.000475389,1.000475389,1.000475389,1.000475389,0.857550333,1.2863255,0.857550333,1.143400444,1.143400444,1.000633019,1.000633019,1.143580593,1.286528166,1.286528166,1.145023824,1.288151802,1.288151802,1.288151802,1.288151802,1.288151802,1.145023824,1.145023824,1.145023824,1.001895846
34360,2.025196993,2.025196993,2.025196993,2.531496241,2.531496241,2.025196993,2.025196993,2.025196993,2.025196993,2.025196993,1.518897745,1.012598497,1.012598497,1.012598497,1.012598497,0.506299248,0.505453066,0.505453066,0,0,0,0,0,0,0,0,0.507148268,0.506581939,0.506581939,0.506581939,0.506581939
179944,0,0,0.684229452,0.684229452,0.684229452,0.684229452,0.684229452,0.684229452,0.684229452,0.684229452,0.684229452,0.684229452,0.684229452,0.684229452,0.684229452,0.684229452,0.684229452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335287603,0.335411554,0.670823107,0.670823107,0.670823107,0.670823107,0.671071192,0.671071192,0.671071192,0.671071192,0.671071192,0.671071192,0.671319462,0.671319462,0.671319462,0.671319462
34618,1.895448996,2.527265328,2.527265328,2.527265328,2.527265328,1.895448996,1.895448996,1.895448996,1.895448996,1.895448996,2.527265328,2.527265328,2.527265328,1.263632664,1.263632664,1.263632664,1.907403475,1.907403475,1.907403475,1.907403475,1.907403475,2.548562508,2.548562508,2.548562508,3.185703135,3.822843761,4.459984388,5.104293968,5.104293968,5.104293968,5.104293968
34645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.513898755,0.513898755,0.513898755,0.513898755,0.513898755,0.513898755,0.513898755,0.513898755,0.513898755,0.513898755,0.513898755,0.513898755,0.513898755,0.770848133,0.770848133
34690,0,0,0,0,0,0.314593708,0.314593708,0.314593708,0.314593708,0.629187415,0.629187415,1.25837483,1.25837483,1.25837483,1.25837483,1.25837483,1.258811311,1.258811311,1.258811311,1.258811311,0.944108483,1.25837483,1.25837483,0.943781123,0.943781123,0.943781123,0.943781123,0.314593708,0,0,0
34770,0.3827413,0.3827413,0.3827413,0.3827413,0.3827413,0.3827413,0.19137065,0.19137065,0.19137065,0.19137065,0.19137065,0.3827413,0.3827413,0.3827413,0.3827413,0.3827413,0.382579908,0.956449771,0.956449771,1.339029679,1.339029679,1.339029679,1.339029679,1.530319634,1.339029679,1.339029679,1.339029679,1.34100882,1.149436131,1.149436131,1.724154197
34850,0.787918586,0.787918586,0.787918586,0.787918586,0.787918586,0.787918586,0.787918586,0.787918586,1.18187788,1.969796467,1.969796467,1.18187788,1.18187788,1.18187788,1.969796467,1.969796467,1.970652157,2.364782588,2.364782588,2.758913018,2.758913018,2.364782588,2.758913018,2.758913018,2.758913018,2.758913018,2.364782588,1.576521725,1.576521725,1.576521725,1.576521725
34422,0.355381219,0.355381219,0.355381219,0.355381219,0.355381219,0.355381219,0.355381219,0.355381219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355938899,0.355938899,0.356358308,0.356358308,0.356358308,0.356358308
